 Ref_Format,Video_Format,H_Timing,V_Timing
720p5994,720p5994,1.09,0 line
525i5994,720p5994,0.14,0 line
1080i5994,1080p5994_A,1.55,  4 lines delayed
720p5994,1080p5994_A,5.91,0 line
525i5994,1080p5994_A,0.8,0 line
1080i5994,525i5994,3.33,0 line
720p5994,525i5994,3.85,0 line
525i5994,525i5994,2.74,0 line
1080i5000,1080i5000,0.88,0 line
720p5000,1080i5000,0.95,0 line
625i5000,1080i5000,0.2,0 line
1080i5000,720p5000,0.95,0 line
720p5000,720p5000,1.32,0 line
625i5000,720p5000,0.02,0 line
720p5000,1080p5000_A,0.1,0 line
625i5000,1080p5000_A,7.3,322 lines advanced
1080i5000,625i5000,1.25,0 line
720p5000,625i5000,0.96,0 line
625i5000,625i5000,2.66,0 line
1080i5994,1080i5994,0.93,0 line
720p5994,1080i5994,1.09,0 line
525i5994,1080i5994,0.47,0 line
1080i5994,720p5994,0.95,0 line
720p5994,720p5994,1.13,0 line
525i5994,720p5994,0.01,0 line
1080i5994,1080p5994_A,1.51,  4 lines delayed
720p5994,1080p5994_A,0.25,0 line
525i5994,1080p5994_A,4.89, 11 lines advanced
1080i5994,525i5994,3.33,0 line
720p5994,525i5994,3.33,0 line
525i5994,525i5994,2.51,0 line
1080i5000,1080i5000,0.88,0 line
720p5000,1080i5000,0.92,0 line
625i5000,1080i5000,0.1,0 line
1080i5000,720p5000,0.97,0 line
720p5000,720p5000,0.88,0 line
625i5000,720p5000,0.31,0 line
1080i5000,1080p5000_A,2.54,  4 lines delayed
720p5000,1080p5000_A,0.14,0 line
625i5000,1080p5000_A,8.05,  2 lines delayed
1080i5000,625i5000,1.33,0 line
720p5000,625i5000,1.18,0 line
625i5000,625i5000,2.81,0 line
1080i5994,1080i5994,0.95,0 line
720p5994,1080i5994,1.11,0 line
525i5994,1080i5994,0.28,0 line
1080i5994,720p5994,0.91,0 line
720p5994,720p5994,1.3,0 line
525i5994,720p5994,0.02,0 line
720p5994,1080p5994_A,0.05,0 line
525i5994,1080p5994_A,1.06,0 line
1080i5994,525i5994,3.33,0 line
720p5994,525i5994,3.85,0 line
525i5994,525i5994,2.44,0 line
1080i5000,1080i5000,0.87,0 line
720p5000,1080i5000,0.94,0 line
625i5000,1080i5000,0.39,0 line
1080i5000,720p5000,0.97,0 line
720p5000,720p5000,0.88,0 line
625i5000,720p5000,0.05,0 line
1080i5000,1080p5000_A,2.8,  4 lines delayed
720p5000,1080p5000_A,0.22,0 line
625i5000,1080p5000_A,1.06,0 line
1080i5000,625i5000,1.33,0 line
720p5000,625i5000,1.11,0 line
625i5000,625i5000,2.88,0 line
1080i5994,1080i5994,0.91,0 line
720p5994,1080i5994,0.58,0 line
525i5994,1080i5994,0.06,0 line
1080i5994,720p5994,0.91,0 line
720p5994,720p5994,1.22,0 line
525i5994,720p5994,0.32,0 line
